Var1,Var2
45.10209567,-68.6599665
45.10209567,-68.6599665
45.10209567,-68.6599665
45.10209567,-68.6599665
45.10209567,-68.6599665
45.10209567,-68.6599665
45.10209567,-68.6599665
45.10209567,-68.6599665
45.10209567,-68.6599665
45.10209567,-68.6599665
45.10209567,-68.6599665
45.10209567,-68.6599665
45.10209567,-68.6599665
45.10209567,-68.6599665
45.10209567,-68.6599665
45.10207933,-68.65998683
45.10207933,-68.65998683
45.10207933,-68.65998683
45.10207933,-68.65998683
45.10207933,-68.65998683
45.10207933,-68.65998683
45.10207933,-68.65998683
45.10207933,-68.65998683
45.10207933,-68.65998683
45.10207933,-68.65998683
45.10207933,-68.65998683
45.10207933,-68.65998683
45.10207933,-68.65998683
45.10207933,-68.65998683
45.10207933,-68.65998683
45.10207933,-68.65998683
45.10207933,-68.65998683
45.10207933,-68.65998683
45.10207933,-68.65998683
45.10207933,-68.65998683
45.10207933,-68.65998683
45.10207933,-68.65998683
45.10207933,-68.65998683
45.10207933,-68.65998683
45.10207933,-68.65998683
45.10206383,-68.6600075
45.10206383,-68.6600075
45.10206383,-68.6600075
45.10206383,-68.6600075
45.10206383,-68.6600075
45.10206383,-68.6600075
45.10206383,-68.6600075
45.10206383,-68.6600075
45.10206383,-68.6600075
45.10206383,-68.6600075
45.10206383,-68.6600075
45.10206383,-68.6600075
45.10206383,-68.6600075
45.10206383,-68.6600075
45.10206383,-68.6600075
45.10206383,-68.6600075
45.10206383,-68.6600075
45.10206383,-68.6600075
45.10206383,-68.6600075
45.10206383,-68.6600075
45.10206383,-68.6600075
45.10206383,-68.6600075
45.10206383,-68.6600075
45.10206383,-68.6600075
45.10206383,-68.6600075
45.10204017,-68.660039
45.10204017,-68.660039
45.10204017,-68.660039
45.10204017,-68.660039
45.10204017,-68.660039
45.10204017,-68.660039
45.10204017,-68.660039
45.10204017,-68.660039
45.10204017,-68.660039
45.10204017,-68.660039
45.10204017,-68.660039
45.10204017,-68.660039
45.10204017,-68.660039
45.10204017,-68.660039
45.10204017,-68.660039
45.10204017,-68.660039
45.10204017,-68.660039
45.10204017,-68.660039
45.10204017,-68.660039
45.10204017,-68.660039
45.10204017,-68.660039
45.10204017,-68.660039
45.10204017,-68.660039
45.10204017,-68.660039
45.10204017,-68.660039
45.10202567,-68.66005983
45.10202567,-68.66005983
45.10202567,-68.66005983
45.10202567,-68.66005983
45.10202567,-68.66005983
45.10202567,-68.66005983
45.10202567,-68.66005983
45.10202567,-68.66005983
45.10202567,-68.66005983
45.10202567,-68.66005983
45.10202567,-68.66005983
45.10202567,-68.66005983
45.10202567,-68.66005983
45.10202567,-68.66005983
45.10202567,-68.66005983
45.10202567,-68.66005983
45.10202567,-68.66005983
45.10202567,-68.66005983
45.10202567,-68.66005983
45.10202567,-68.66005983
45.10202567,-68.66005983
45.10202567,-68.66005983
45.10202567,-68.66005983
45.10202567,-68.66005983
45.10202567,-68.66005983
45.102011,-68.6600805
45.102011,-68.6600805
45.102011,-68.6600805
45.102011,-68.6600805
45.102011,-68.6600805
45.102011,-68.6600805
45.102011,-68.6600805
45.102011,-68.6600805
45.102011,-68.6600805
45.102011,-68.6600805
45.102011,-68.6600805
45.102011,-68.6600805
45.102011,-68.6600805
45.102011,-68.6600805
45.102011,-68.6600805
45.102011,-68.6600805
45.102011,-68.6600805
45.102011,-68.6600805
45.102011,-68.6600805
45.102011,-68.6600805
45.102011,-68.6600805
45.102011,-68.6600805
45.102011,-68.6600805
45.102011,-68.6600805
45.102011,-68.6600805
45.10199,-68.660111
45.10199,-68.660111
45.10199,-68.660111
45.10199,-68.660111
45.10199,-68.660111
45.10199,-68.660111
45.10199,-68.660111
45.10199,-68.660111
45.10199,-68.660111
45.10199,-68.660111
45.10199,-68.660111
45.10199,-68.660111
45.10199,-68.660111
45.10199,-68.660111
45.10199,-68.660111
45.10199,-68.660111
45.10199,-68.660111
45.10199,-68.660111
45.10199,-68.660111
45.10199,-68.660111
45.10199,-68.660111
45.10199,-68.660111
45.10199,-68.660111
45.10199,-68.660111
45.10199,-68.660111
45.101977,-68.66013117
